Feature,Counts,ImportanceScore,Rank
temperature_celsius,30,0.026333,1.0
satiation_ration,30,0.023667,2.0
creatinine,30,0.018333,3.0
neutrophils_abs,30,0.017333,4.0
monocytes_abs,30,0.016333,5.0
event,30,0.015667,6.0
thick_buffy_coat,30,0.014667,7.0
triglycerides,30,0.012667,8.0
cortisol,30,0.011667,9.0
ratioNeutrophilslymphocytes,28,0.010714,10.0
haematocrit,30,0.010667,11.0
lymphocytes_abs,25,0.0104,12.0
ratioAlbuminGlobulin,25,0.0104,12.0
prostaglandin_e2,27,0.01037,13.0
c-reactive_protein,28,0.010357,14.0
magnesium,25,0.01,15.0
urea,17,0.01,15.0
sodium,23,0.01,15.0
phosphate,26,0.01,15.0
white_blood_cell_count,26,0.01,15.0
total_protein,23,0.01,15.0
haptoglobin,23,0.01,15.0
alanine_aminotransferase,30,0.01,15.0
globulin,22,0.01,15.0
creatine_phosphokinase,26,0.01,15.0
chloride,20,0.01,15.0
aspartate_aminotransferase,29,0.01,15.0
albumin,23,0.01,15.0
haemoglobin,7,0.01,15.0
glutamate_dehydrogenase,28,0.01,15.0
potassium,28,0.01,15.0
glucose,27,0.01,15.0
cholesterol,28,0.01,15.0
calcium,25,0.01,15.0
buffy_coat_thickness,21,0.01,15.0
alkaline_phosphatase,25,0.01,15.0
meanCorHaeCon,12,0.01,15.0
bilirubin,0,0.0,16.0
