Feature,Counts,ImportanceScore,Rank
lesion-pylori,30,0.024333,1.0
satiation_ration,30,0.017667,2.0
other-liver,30,0.016667,3.0
thick_lamina_propria-hindgut,30,0.015333,4.0
nephrocalcinosis-kidney,30,0.015,5.0
artefact-pylori,30,0.014667,6.0
architecture-hindgut,30,0.014667,6.0
oedema-midgut,30,0.014,7.0
inflammation-liver,30,0.013333,8.0
other-spleen,30,0.013333,8.0
event,29,0.012759,9.0
other-pancreas,30,0.011667,10.0
follicle-spleen,29,0.011379,11.0
glomerulus-kidney,30,0.011,12.0
cellular_inflammation-hindgut,30,0.011,12.0
tubule-kidney,30,0.011,12.0
thick_lamina_propria-midgut,30,0.011,12.0
other-stomach,30,0.010667,13.0
serosal-midgut,30,0.010667,13.0
temperature_celsius,28,0.010357,14.0
gland_epithelium-stomach,28,0.010357,14.0
vacuolation-liver,30,0.010333,15.0
cellular_inflammation-midgut,25,0.01,16.0
other-skin_muscle,23,0.01,16.0
architecture-midgut,30,0.01,16.0
inflammation-stomach,30,0.01,16.0
branchitis-gill,29,0.01,16.0
fatty-heart,24,0.01,16.0
interstitium-kidney,28,0.01,16.0
other-gill,3,0.01,16.0
serosal-hindgut,9,0.01,16.0
oedema-hindgut,27,0.01,16.0
head-kidney,10,0.01,16.0
ellipsoids-spleen,0,0.0,17.0
inflammation-heart,0,0.0,17.0
inflammation-skin_muscle,0,0.0,17.0
other-gonad_female,0,0.0,17.0
