Feature,Counts,ImportanceScore,Rank
satiation_ration,30,0.095686,1.0
event,29,0.061606,2.0
cortisol,25,0.05847,3.0
thick_buffy_coat,29,0.056614,4.0
creatine_phosphokinase,29,0.04967,5.0
cholesterol,28,0.046703,6.0
bilirubin,25,0.045995,7.0
alkaline_phosphatase,27,0.042359,8.0
lymphocytes_abs,26,0.040097,9.0
c-reactive_protein,24,0.039872,10.0
triglycerides,29,0.037836,11.0
neutrophils_abs,18,0.037829,12.0
white_blood_cell_count,23,0.036683,13.0
potassium,18,0.034735,14.0
urea,25,0.034637,15.0
creatinine,24,0.034076,16.0
monocytes_abs,22,0.032272,17.0
phosphate,11,0.032205,18.0
glucose,18,0.032173,19.0
chloride,18,0.03113,20.0
ratioAlbuminGlobulin,20,0.030758,21.0
temperature_celsius,23,0.030299,22.0
glutamate_dehydrogenase,17,0.030125,23.0
magnesium,17,0.029426,24.0
haptoglobin,16,0.028772,25.0
meanCorHaeCon,19,0.028681,26.0
aspartate_aminotransferase,17,0.028547,27.0
sodium,16,0.028158,28.0
ratioNeutrophilslymphocytes,23,0.02751,29.0
haemoglobin,17,0.026488,30.0
alanine_aminotransferase,15,0.025469,31.0
globulin,20,0.024962,32.0
buffy_coat_thickness,10,0.024812,33.0
haematocrit,21,0.024733,34.0
calcium,12,0.021624,35.0
prostaglandin_e2,19,0.020905,36.0
albumin,10,0.017867,37.0
total_protein,13,0.017769,38.0
