Feature,Counts,ImportanceScore,Rank
satiation_ration,30,0.112514,1.0
cholesterol,28,0.049272,2.0
alkaline_phosphatase,25,0.049159,3.0
colour,28,0.038856,4.0
cortisol,24,0.037344,5.0
thick_buffy_coat,23,0.035726,6.0
creatine_phosphokinase,25,0.031782,7.0
lymphocytes,24,0.031103,8.0
triglycerides,26,0.030779,9.0
haematocrit,24,0.026871,10.0
lymphocytes_abs,22,0.026712,11.0
c-reactive_protein,23,0.026456,12.0
temperature_celsius,20,0.026158,13.0
monocytes_abs,24,0.025862,14.0
bilirubin,22,0.022731,15.0
white_blood_cell_count,19,0.020938,16.0
creatinine,22,0.020341,17.0
neutrophils,22,0.020215,18.0
leucocyte_appearance,24,0.019736,19.0
haptoglobin,17,0.019194,20.0
urea,15,0.018997,21.0
thrombocyte_appearance,22,0.018685,22.0
globulin,16,0.016643,23.0
neutrophils_abs,17,0.01566,24.0
monocytes,17,0.015617,25.0
prostaglandin_e2,16,0.015421,26.0
magnesium,16,0.015216,27.0
potassium,16,0.014859,28.0
haemoglobin,15,0.013564,29.0
aspartate_aminotransferase,14,0.013122,30.0
glucose,16,0.013044,31.0
erythrocyte_appearance,15,0.012513,32.0
buffy_coat_thickness,15,0.012469,33.0
chloride,11,0.012153,34.0
alanine_aminotransferase,15,0.011709,35.0
calcium,15,0.010782,36.0
glutamate_dehydrogenase,14,0.010266,37.0
phosphate,15,0.009426,38.0
total_protein,12,0.00854,39.0
albumin,13,0.007966,40.0
sodium,7,0.00563,41.0
