Feature,Counts,ImportanceScore,Rank
aspartate_aminotransferase,3,0.266667,1.0
event,6,0.240152,2.0
lactate,6,0.231481,3.0
phosphate,4,0.230556,4.0
haematocrit,5,0.217778,5.0
bilirubin,6,0.200253,6.0
alkaline_phosphatase,5,0.196316,7.0
alanine_aminotransferase,8,0.188542,8.0
ratioAlbuminGlobulin,4,0.1875,9.0
satiation_ration,24,0.1874,10.0
temperature_celsius,5,0.180303,11.0
haemoglobin,6,0.169444,12.0
total_protein,5,0.163655,13.0
cortisol,5,0.161667,14.0
glutamate_dehydrogenase,4,0.159091,15.0
haptoglobin,4,0.154545,16.0
white_blood_cell_count,3,0.153509,17.0
triglycerides,3,0.153509,17.0
lipase,3,0.15,18.0
thick_buffy_coat,5,0.146211,19.0
cholesterol,5,0.142105,20.0
chloride,2,0.141667,21.0
prostaglandin_e2,8,0.139163,22.0
potassium,5,0.138724,23.0
monocytes_abs,4,0.132177,24.0
creatine_phosphokinase,4,0.130837,25.0
neutrophils_abs,6,0.127032,26.0
c-reactive_protein,9,0.125913,27.0
calcium,3,0.123509,28.0
magnesium,2,0.108333,29.0
creatinine,4,0.100417,30.0
albumin,4,0.094846,31.0
urea,7,0.089709,32.0
ratioNeutrophilslymphocytes,2,0.067763,33.0
glucose,5,0.067544,34.0
globulin,4,0.041899,35.0
sodium,1,0.036364,36.0
meanCorHaeCon,4,0.014811,37.0
lymphocytes_abs,3,0.012573,38.0
