Feature,Counts,ImportanceScore,Rank
inflammation-skin_muscle,29,0.064274,1.0
other-liver,29,0.06155,2.0
other-gill,27,0.060183,3.0
ellipsoids-spleen,21,0.046039,4.0
serosal-midgut,24,0.044887,5.0
vacuolation-liver,23,0.03776,6.0
satiation_ration,23,0.037531,7.0
branchitis-gill,22,0.036044,8.0
inflammation-liver,21,0.03602,9.0
other-gonad_female,19,0.033964,10.0
fatty-heart,27,0.032116,11.0
head-kidney,23,0.031158,12.0
other-skin_muscle,18,0.028599,13.0
other-pancreas,23,0.026851,14.0
follicle-spleen,19,0.025839,15.0
gland_epithelium-stomach,17,0.025396,16.0
inflammation-stomach,16,0.024487,17.0
glomerulus-kidney,17,0.0215,18.0
temperature_celsius,18,0.019232,19.0
serosal-hindgut,15,0.019139,20.0
cellular_inflammation-hindgut,13,0.018899,21.0
general_histology-empty,16,0.018553,22.0
other-stomach,13,0.018293,23.0
artefact-pylori,18,0.01686,24.0
inflammation-gi_tract,16,0.016699,25.0
cellular_inflammation-midgut,9,0.016538,26.0
other-spleen,15,0.016436,27.0
thick_lamina_propria-hindgut,14,0.015754,28.0
inflammation-empty,16,0.015227,29.0
thick_lamina_propria-midgut,10,0.014345,30.0
inflammation-heart,15,0.014342,31.0
oedema-hindgut,11,0.013112,32.0
architecture-midgut,13,0.012952,33.0
tubule-kidney,16,0.012727,34.0
nephrocalcinosis-kidney,13,0.012706,35.0
architecture-hindgut,8,0.012325,36.0
oedema-midgut,12,0.010131,37.0
lesion-pylori,9,0.009576,38.0
interstitium-kidney,9,0.008347,39.0
