Feature,Counts,ImportanceScore,Rank
thrombocyte_appearance,17,0.102578,1.0
satiation_ration,18,0.074066,2.0
lipase,9,0.043841,3.0
monocytes_abs,10,0.036939,4.0
leucocyte_appearance,16,0.036864,5.0
alkaline_phosphatase,9,0.033998,6.0
thick_buffy_coat,7,0.030139,7.0
total_protein,7,0.029306,8.0
creatine_phosphokinase,6,0.02849,9.0
globulin,7,0.027045,10.0
temperature_celsius,10,0.025528,11.0
erythrocyte_appearance,14,0.024686,12.0
lymphocytes_abs,4,0.024333,13.0
bilirubin,9,0.024303,14.0
white_blood_cell_count,7,0.024213,15.0
albumin,7,0.023583,16.0
neutrophils_abs,7,0.023484,17.0
aspartate_aminotransferase,5,0.023247,18.0
urea,8,0.021944,19.0
creatinine,7,0.021696,20.0
prostaglandin_e2,9,0.019736,21.0
lactate,7,0.017476,22.0
alanine_aminotransferase,5,0.017143,23.0
c-reactive_protein,7,0.016892,24.0
chloride,4,0.016528,25.0
neutrophils,6,0.016386,26.0
monocytes,4,0.016261,27.0
glucose,4,0.015889,28.0
phosphate,6,0.014794,29.0
triglycerides,8,0.013995,30.0
colour,5,0.013578,31.0
cholesterol,9,0.013435,32.0
calcium,8,0.013213,33.0
haptoglobin,6,0.011786,34.0
haemoglobin,6,0.011099,35.0
potassium,5,0.010995,36.0
magnesium,5,0.010893,37.0
cortisol,3,0.010833,38.0
glutamate_dehydrogenase,6,0.007028,39.0
sodium,3,0.006667,40.0
lymphocytes,6,0.00618,41.0
haematocrit,5,0.00402,42.0
