Feature,Counts,ImportanceScore,Rank
event,30,0.028,1.0
fatty-heart,30,0.016333,2.0
oedema-hindgut,28,0.011071,3.0
thick_lamina_propria-hindgut,29,0.010345,4.0
oedema-midgut,19,0.01,5.0
other-pancreas,17,0.01,5.0
interstitium-kidney,30,0.01,5.0
nephrocalcinosis-kidney,17,0.01,5.0
other-skin_muscle,24,0.01,5.0
architecture-midgut,16,0.01,5.0
branchitis-gill,29,0.01,5.0
gland_epithelium-stomach,29,0.01,5.0
other-stomach,23,0.01,5.0
vacuolation-liver,21,0.01,5.0
other-spleen,14,0.01,5.0
follicle-spleen,5,0.01,5.0
head-kidney,1,0.01,5.0
temperature_celsius,28,0.01,5.0
tubule-kidney,3,0.01,5.0
glomerulus-kidney,6,0.01,5.0
other-gonad_female,28,0.01,5.0
inflammation-liver,20,0.01,5.0
cellular_inflammation-midgut,4,0.01,5.0
inflammation-stomach,28,0.01,5.0
other-gill,13,0.01,5.0
lesion-pylori,11,0.01,5.0
cellular_inflammation-hindgut,13,0.01,5.0
inflammation-skin_muscle,0,0.0,6.0
inflammation-heart,0,0.0,6.0
serosal-hindgut,0,0.0,6.0
ellipsoids-spleen,0,0.0,6.0
architecture-hindgut,0,0.0,6.0
serosal-midgut,0,0.0,6.0
thick_lamina_propria-midgut,0,0.0,6.0
artefact-pylori,0,0.0,6.0
other-liver,0,0.0,6.0
satiation_ration,0,0.0,6.0
