Feature,Counts,ImportanceScore,Rank
other-stomach,30,0.023333,1.0
other-skin_muscle,30,0.021333,2.0
vacuolation-liver,30,0.018333,3.0
oedema-midgut,30,0.012667,4.0
other-pancreas,30,0.012667,4.0
follicle-spleen,30,0.012667,4.0
oedema-hindgut,30,0.012,5.0
branchitis-gill,30,0.012,5.0
nephrocalcinosis-kidney,30,0.011,6.0
other-spleen,30,0.011,6.0
tubule-kidney,30,0.010667,7.0
gland_epithelium-stomach,28,0.010357,8.0
inflammation-liver,30,0.010333,9.0
inflammation-stomach,30,0.010333,9.0
lesion-pylori,15,0.01,10.0
general_histology-empty,30,0.01,10.0
architecture-midgut,30,0.01,10.0
thick_lamina_propria-hindgut,15,0.01,10.0
serosal-hindgut,30,0.01,10.0
inflammation-empty,15,0.01,10.0
temperature_celsius,30,0.01,10.0
cellular_inflammation-midgut,15,0.01,10.0
other-liver,29,0.01,10.0
inflammation-gi_tract,18,0.01,10.0
ellipsoids-spleen,23,0.01,10.0
artefact-pylori,30,0.01,10.0
cellular_inflammation-hindgut,24,0.01,10.0
thick_lamina_propria-midgut,25,0.01,10.0
inflammation-heart,30,0.01,10.0
glomerulus-kidney,30,0.01,10.0
other-gonad_female,30,0.01,10.0
other-gill,30,0.01,10.0
satiation_ration,16,0.01,10.0
fatty-heart,27,0.01,10.0
head-kidney,28,0.01,10.0
serosal-midgut,6,0.01,10.0
interstitium-kidney,8,0.01,10.0
architecture-hindgut,11,0.01,10.0
inflammation-skin_muscle,0,0.0,11.0
