Feature,Counts,ImportanceScore,Rank
c18:1n7_vaccenic_acid-whole_body-FAME-g/100g,8,0.005921,57.0
c14:0_myristic_acid-whole_body-FAME-percentage,8,0.0059,58.0
c16:0_palmitic_acid-whole_body-FAME-g/100g,7,0.005709,59.0
c18:2n6c_linoleic_acid-whole_body-FAME-g/100g,5,0.005697,60.0
arginine-whole_body-HPLC-DAD-g/100g,7,0.005554,61.0
c18:2t_linolelaidic_acid-whole_body-FAME-g/100g,9,0.005519,62.0
c18:3n4_octadecatrienoic_acid-whole_body-FAME-percentage,6,0.005454,63.0
threonine-whole_body-HPLC-DAD-g/100g,7,0.005377,64.0
c20:1_gadoleic_acid-whole_body-FAME-percentage,9,0.005346,65.0
c22:0_behenic_acid-whole_body-FAME-percentage,6,0.005107,66.0
c14:1_myristoleic_acid-whole_body-FAME-g/100g,7,0.005086,67.0
c18:1n7_vaccenic_acid-whole_body-FAME-percentage,8,0.005082,68.0
C22:6n3_docosahexaenoic_acid-fillet-NIR-g/100g,7,0.005061,69.0
c18:1n9c_oleic_acid-whole_body-FAME-percentage,7,0.004998,70.0
c17:0_heptadecanoic_acid-whole_body-FAME-percentage,6,0.004896,71.0
ash-fillet-NIR-g/100g,7,0.004892,72.0
fat-fillet-NIR-g/100g,4,0.004845,73.0
c24:1_nervonic_acid-whole_body-FAME-g/100g,5,0.004822,74.0
c20:4n6_arachidonic_acid-whole_body-FAME-percentage,6,0.004735,75.0
c16:0_palmitic_acid-whole_body-FAME-percentage,7,0.004655,76.0
c22:1n9_cetoleic_erucic_acid-whole_body-FAME-g/100g,5,0.004565,77.0
satiation_ration,7,0.004557,78.0
c14:1_myristoleic_acid-whole_body-FAME-percentage,5,0.00453,79.0
c22:2_dicosadienoic_acid-whole_body-FAME-percentage,6,0.00441,80.0
c6:0_caproic_acid-whole_body-FAME-g/100g,6,0.00438,81.0
c22:2_dicosadienoic_acid-whole_body-FAME-g/100g,6,0.004357,82.0
moisture-fillet-NIR-g/100g,5,0.004334,83.0
c11:0_undecanoic_acid-whole_body-FAME-g/100g,6,0.004282,84.0
c20:5n3_eicosapentaenoic_acid-whole_body-FAME-g/100g,5,0.004056,85.0
c18:0_stearic_acid-whole_body-FAME-percentage,6,0.004043,86.0
c17:0_heptadecanoic_acid-whole_body-FAME-g/100g,5,0.003804,87.0
c20:4n3_eicosatetraenoic_acid-whole_body-FAME-g/100g,3,0.003801,88.0
C20:5n3_eicosapentaenoic_acid-fillet-NIR-g/100g,4,0.003705,89.0
c18:3n4_octadecatrienoic_acid-whole_body-FAME-g/100g,6,0.003607,90.0
c18:2n6c_linoleic_acid-whole_body-FAME-percentage,6,0.00357,91.0
ash-whole_body-wet_chemistry-g/100g,4,0.003552,92.0
c15:1_cis_10_pentadecanoic_acid-whole_body-FAME-g/100g,6,0.003481,93.0
fat-viscera-NIR-g/100g,7,0.003362,94.0
c13:0_tridecanoic_acid-whole_body-FAME-percentage,6,0.003356,95.0
c16:1_palmitoleic_acid-whole_body-FAME-percentage,4,0.003252,96.0
c20:3n6_cis_8_11_14_eicosatrienoic_acid-whole_body-FAME-percentage,3,0.003191,97.0
c4:0_butyric_acid-whole_body-FAME-g/100g,6,0.003131,98.0
c23:0_tricosanoic_acid-whole_body-FAME-percentage,6,0.003094,99.0
glutamic_acid_and_glutamine-whole_body-HPLC-DAD-g/100g,5,0.002989,100.0
c20:3n6_cis_8_11_14_eicosatrienoic_acid-whole_body-FAME-g/100g,6,0.002976,101.0
c8:0_caprylic_acid-whole_body-FAME-g/100g,3,0.002951,102.0
c11:0_undecanoic_acid-whole_body-FAME-percentage,5,0.002947,103.0
c15:0_pentadecanoic_acid-whole_body-FAME-percentage,3,0.002894,104.0
c23:0_tricosanoic_acid-whole_body-FAME-g/100g,5,0.002681,105.0
c8:0_caprylic_acid-whole_body-FAME-percentage,5,0.002627,106.0
c13:0_tridecanoic_acid-whole_body-FAME-g/100g,6,0.002566,107.0
alanine-whole_body-HPLC-DAD-g/100g,4,0.002497,108.0
c20:0_arachidic_acid-whole_body-FAME-g/100g,3,0.00248,109.0
c4:0_butyric_acid-whole_body-FAME-percentage,5,0.002461,110.0
serine-whole_body-HPLC-DAD-g/100g,5,0.00242,111.0
c6:0_caproic_acid-whole_body-FAME-percentage,5,0.002406,112.0
c22:5n3_docosapentaenoic_acid-whole_body-FAME-percentage,5,0.002329,113.0
c10:0_capric_acid-whole_body-FAME-g/100g,4,0.002275,114.0
saturated_fatty_acids-fillet-NIR-g/100g,4,0.00225,115.0
c24:1_nervonic_acid-whole_body-FAME-percentage,3,0.001946,116.0
c18:2t_linolelaidic_acid-whole_body-FAME-percentage,3,0.001878,117.0
proline-whole_body-HPLC-DAD-g/100g,3,0.001851,118.0
glycine-whole_body-HPLC-DAD-g/100g,3,0.001813,119.0
c10:0_capric_acid-whole_body-FAME-percentage,2,0.001569,120.0
c20:1_gadoleic_acid-whole_body-FAME-g/100g,3,0.001444,121.0
protein-fillet-NIR-g/100g,2,0.001254,122.0
c22:5n3_docosapentaenoic_acid-whole_body-FAME-g/100g,2,0.001254,122.0
aspartic_acid_and_asparagine-whole_body-HPLC-DAD-g/100g,3,0.001204,123.0
c17:1_cis_10_heptadecanoic_acid-whole_body-FAME-g/100g,2,0.000763,124.0
c15:1_cis_10_pentadecanoic_acid-whole_body-FAME-percentage,1,0.000476,125.0
c22:6n3_docosahexaenoic_acid-whole_body-FAME-percentage,1,0.000333,126.0
