Feature,Counts,ImportanceScore,Rank
temperature_celsius,30,0.090408,1.0
appearance-faecal-score,30,0.083792,2.0
satiation_ration,30,0.079664,3.0
nephrocalcinosis-kidney-score,30,0.072419,4.0
general_health-gonad-index,30,0.070787,5.0
normal-kidney-logical,28,0.068965,6.0
lks-spine-score,29,0.056055,7.0
deformity-spine-logical,23,0.050962,8.0
fusion-spine-score,29,0.050052,9.0
fluid-swim_bladder-logical,29,0.047433,10.0
deformity-spine-score,29,0.044641,11.0
general_health-heart-index,30,0.043907,12.0
compression_or_reduction-spine-score,28,0.042394,13.0
general_health-liver-index,28,0.029718,14.0
fluid-swim_bladder-mL,24,0.029316,15.0
normal-stomach-logical,27,0.028008,16.0
visceral_fat-viscera-score,25,0.027801,17.0
vertical_shift-spine-score,25,0.023304,18.0
