Feature,Counts,ImportanceScore,Rank
oedema-hindgut,29,0.070765,1.0
other-pancreas,27,0.059607,2.0
follicle-spleen,29,0.057771,3.0
nephrocalcinosis-kidney,27,0.054471,4.0
oedema-midgut,28,0.050976,5.0
thick_lamina_propria-hindgut,24,0.049899,6.0
other-gill,27,0.048398,7.0
other-skin_muscle,28,0.045041,8.0
head-kidney,21,0.041245,9.0
temperature_celsius,22,0.040621,10.0
event,28,0.039811,11.0
serosal-midgut,27,0.0396,12.0
architecture-midgut,17,0.036792,13.0
inflammation-stomach,24,0.036619,14.0
cellular_inflammation-midgut,22,0.036172,15.0
satiation_ration,17,0.035935,16.0
vacuolation-liver,25,0.035124,17.0
inflammation-heart,16,0.034217,18.0
branchitis-gill,18,0.033831,19.0
cellular_inflammation-hindgut,18,0.032411,20.0
inflammation-liver,16,0.031393,21.0
ellipsoids-spleen,22,0.030703,22.0
other-stomach,22,0.03052,23.0
tubule-kidney,21,0.0305,24.0
inflammation-skin_muscle,21,0.030069,25.0
other-liver,20,0.029326,26.0
other-gonad_female,21,0.028236,27.0
fatty-heart,18,0.027569,28.0
serosal-hindgut,23,0.027093,29.0
lesion-pylori,21,0.023354,30.0
other-spleen,19,0.023291,31.0
glomerulus-kidney,19,0.022831,32.0
architecture-hindgut,15,0.022219,33.0
interstitium-kidney,14,0.02216,34.0
thick_lamina_propria-midgut,22,0.021764,35.0
artefact-pylori,14,0.018461,36.0
gland_epithelium-stomach,21,0.01711,37.0
