Feature,Counts,ImportanceScore,Rank
creatinine,30,0.023333,1.0
leucocyte_appearance,30,0.018333,2.0
glutamate_dehydrogenase,30,0.015,3.0
triglycerides,30,0.015,3.0
haemoglobin,30,0.014333,4.0
thick_buffy_coat,30,0.011,5.0
lipase,29,0.010333,6.0
calcium,30,0.010333,6.0
chloride,30,0.010333,6.0
urea,30,0.01,7.0
colour,29,0.01,7.0
neutrophils_abs,29,0.01,7.0
haptoglobin,30,0.01,7.0
sodium,28,0.009667,8.0
monocytes_abs,29,0.009667,8.0
cortisol,29,0.009667,8.0
bilirubin,29,0.009667,8.0
prostaglandin_e2,28,0.009333,9.0
white_blood_cell_count,28,0.009333,9.0
lymphocytes_abs,28,0.009333,9.0
alkaline_phosphatase,25,0.009333,9.0
glucose,27,0.009,10.0
monocytes,27,0.009,10.0
lactate,27,0.009,10.0
neutrophils,26,0.008667,11.0
alanine_aminotransferase,26,0.008667,11.0
phosphate,25,0.008333,12.0
erythrocyte_appearance,25,0.008333,12.0
lymphocytes,24,0.008,13.0
potassium,24,0.008,13.0
globulin,24,0.008,13.0
cholesterol,24,0.008,13.0
albumin,23,0.007667,14.0
temperature_celsius,23,0.007667,14.0
magnesium,19,0.006333,15.0
c-reactive_protein,19,0.006333,15.0
total_protein,18,0.006,16.0
satiation_ration,13,0.004333,17.0
aspartate_aminotransferase,7,0.002333,18.0
creatine_phosphokinase,6,0.002,19.0
thrombocyte_appearance,0,0.0,20.0
